,昵称,口味,环境,服务,人均,评论,时间
0,匿名用户,5.0,4.0,4.0,86元,[环境]因为生意很火，所以座位空间很狭小。桌与桌之间也很近。人多了也就比较吵。[服务]不能说哪不好，只...,2019-10-1605:48
1,yezi858,4.0,4.0,5.0,NONE,两个人吃吃花了两百多，还没怎么点肉的，真是越越贵了，今天的蒸饺很不好吃，感觉没蒸熟一样，皮很奇怪，...,2019-10-1523:21
2,west418,4.0,4.0,4.0,55元,西红柿浇汁莜面很好吃！铁板洋白菜粉丝一般。俩人俩菜，110，性价比低了点儿。环境还行。,NONE
3,雯雯_2731,4.0,4.0,5.0,105元,喜欢牛肉汤泡馍，上面这位小姐姐服务特别好，又勤快又能干。店里人气很旺，口味不错。,2019-10-1413:24
4,cfsh1967,4.0,4.0,4.0,NONE,「西红柿浇汁莜面」特地道「凉」很有大西北的味道「张爷爷酸汤手工空心挂面」可惜最近没了「罗马生菜」可...,2019-10-1300:29
5,kdwykl,5.0,4.0,5.0,NONE,上次吃西贝可能还是十多年前，感觉变化真大，除了莜面卷，其他菜都不太认识了呢，环境也不再是传统老饭庄，就是桌子比较密，人多嘈杂。,NONE
6,爱吃肉的六六,3.0,3.0,3.0,NONE,国庆最后一天，看完电影吃个晚饭这家西贝莜面村在君太百货地下一层环境相对来说很宽敞舒适。「西红...,2019-10-0916:54
7,潇洒姐姐,4.0,5.0,4.0,NONE,逛街感觉好就进去试试味道一般装修风格以不错服务一般,NONE
8,wffmaster,3.0,3.0,3.0,80元,西贝价格一涨再涨却还是很火，说明市场还是很大的。今天来这边学习自己一人中午吃点便饭，点了「烤羊肉串」...,2019-10-0914:16
9,:-(潇洒:-):-*人:-*生,4.0,4.0,3.0,NONE,第一次君太。不知道吃什么所以就西贝尝尝。菜品口味不错就是服务人员太少。我是过了饭点儿过的。点了一个酸奶。迟迟没上。到结账走时都没发现。总体还行吧,NONE
10,柏高Paul,5.0,5.0,5.0,NONE,在西单君太百货里面的一家西北菜，味道很不错。主要是10月3号的北京城，竟然等了不到10分钟就有位置可以吃...,2019-10-0815:30
11,陈杨,4.0,4.0,5.0,90元,服务不错，其他一般。女同事还曾经在这里吃出过虫子。,NONE
12,匿名用户,5.0,5.0,5.0,NONE,很喜欢西贝的菜的味道，这次和朋友来君太逛街，走累了就来这家店里找好吃的啦！点了喜欢的东北酸菜、拌凉...,2019-10-0619:25
13,菜子,5.0,5.0,5.0,NONE,西北永远是我的最爱，只要去他家就不会有坑点，任何东西都很好吃，当然我还是最喜欢他们的羊肉产品，比如说...,2019-10-0615:52
14,薇儿,5.0,5.0,5.0,100元,专门和朋友过来吃西贝，两点左右来的，需要等位，服务员过来推了茶水车，专门来供应等位的人。前面排队有六...,2019-10-0515:07
