,昵称,口味,环境,服务,人均,评论,时间
0,蛊独的美食家,5.0,5.0,5.0,NONE,休息和朋友过一起吃的.他们家是连锁.也符合北方人的口味.棒棒哒,NONE
1,dpuser_5884805647,4.0,4.0,4.0,NONE,去过2次，还不错，干净，整洁，服务人员好，什么茶水味特别香。,NONE
2,DDCC122,5.0,5.0,5.0,150元,服务和菜品都很好，赶上工行满200减100的活动，很值,NONE
3,圆脸兔叽,4.5,3.5,4.0,NONE,味道赞，但是菜品种类太少了。喜欢这种暖暖的装修，可能是在商场里的原因，桌与桌很近，有点吵。最爱[黄...,2019-12-1508:56
4,forever_217,5.0,4.0,4.0,0元,菜品：品类比较单一，感觉菜的品种又少了，不适合多人去，就2-3个人去合适服务：服务员挺多的，在餐厅里...,2019-12-1421:18
5,xiaonahu,4.5,4.5,4.5,NONE,【位置】和好盆友一起去吃的，本想在西单抓娃娃的，最后没抓成娃娃改吃西贝了，哈哈，这家店就在君太地下...,2019-12-1417:12
6,咣吃逛吃,4.0,4.0,4.0,NONE,牛肉不错，但其他菜性价比方面感觉不是很高,NONE
7,脆皮猪,5.0,5.0,5.0,NONE,谢谢门口给我风车的小姐姐！！！她真好！！！！,NONE
8,笑笑,3.5,3.5,3.5,130元,逛街逛累了不知道吃什么就选择西北了，想着简单吃一点，没想到两个人随便点了两个素菜外加二两肉将近200块...,2019-12-1214:43
9,李氓氓,2.5,3.5,4.5,NONE,菜还是那些菜，几个却贵了好多，量也少了好多啊感觉自己能靠服务，但大家的服务都很好，未来的竞争力堪忧,NONE
10,路路通,5.0,5.0,5.0,NONE,很久没有吃西贝了，据说上了菜品。一直都喜欢酸汤莜面的味道，但这次没有之前的好吃了，莜面有点点硬，不知是否是因为外卖的原因。第一次点了鸡蛋，还不错，出乎意料之外的，肉夹馍也就那样吧，皮有点厚，有点干。,NONE
11,菩提證道,4.5,5.0,5.0,NONE,「西红柿浇汁莜面」莜面做得很好吃，汤汁有味。「黄米凉糕」这个比较有特色，适合大众口味。「蒙古牛大骨」...,2019-12-1022:47
12,超级北京妈妈,3.5,3.5,3.5,150元,有几个月没来了。和朋友小聚我选了这个地方，还让朋友先来占座。其实不用占座。点了面筋、西红柿莜面，羊肉...,NONE
13,彭彭_2738,4.0,3.5,4.0,NONE,周末带着孩子西单，孩子想吃面，最后还是选了西贝西单人多是很正常的，所以座位过道都很窄，也比较嘈杂...,2019-12-0921:37
14,水水依然,5.0,5.0,5.0,80元,无法到店，但外卖还是要点的，因为，想吃羊肉串了，哈哈。个人感觉如果非到店吃，那么西贝家的羊肉串是要...,2019-12-0920:49
