,昵称,口味,环境,服务,人均,评论,时间
0,你和芝麻糕,4.0,4.0,4.0,NONE,作为在西贝吃了n年消费上万的资深会员，感觉西贝菜量的缩水太惊人了…13元的羊肉串小到不忍直视牛肉汤泡...,2019-11-1518:16
1,kuanwen123,5.0,5.0,5.0,130元,先来说下口味吧，大骨棒肉多，味浓，骨髓超多，吃的超级满足。黄米凉糕，清甜软糯，丝丝凉爽特别适合逛商场...,2019-11-1511:45
2,不专业的吃货,5.0,5.0,5.0,NONE,「桂花红豆山药糕」不甜，不腻，很好吃！这个真的是抱着试试看的心态点的，结果，好吃！「大麦茶」清口「果...,2019-11-1319:45
3,辞别之歌,5.0,5.0,5.0,NONE,每次吃都这么好吃，闭着眼睛点真是道道都满意，道道都好吃！点了心心念念喜欢的大棒骨，酸汤空心面，沙棘...,2019-11-1318:58
4,本宝宝爱吃肉,3.0,4.0,4.0,NONE,现在感觉西贝是越来越没得吃了，几年前吃的时候发现什么都很好吃，小锅牛肉，凉皮，这么多年过去了，西贝还...,2019-11-1313:32
5,胡涂族人,5.0,5.0,5.0,NONE,点了软骨肉还有黄米凉糕活动立减15整体口味不错赞,NONE
6,宝露露_4214,5.0,5.0,5.0,NONE,黄米凉糕和黄馍馍每次必点！酸奶也不错哦,NONE
7,不长肉的果茶酱,5.0,5.0,5.0,NONE,我属于西贝家的常客了无论堂食还是外卖算是经常光顾主要菜品质量稳定口味一不错我妈还特别喜欢他家的...,2019-11-1119:24
8,dpuser_1883512517,5.0,5.0,5.0,120元,先说菜~招牌的大骨头吃的很爽啊，当然也很贵……普通的菜也不错，基本上都吃光光了~再讲下服务~也是相...,2019-11-1117:03
9,小鱼儿面,5.0,5.0,5.0,NONE,好久没有吃西贝了，这次是奔着蒙古大骨肉的。服务还是一如既往的好，菜品也是闭着眼点都好吃，牛脖骨肉算很多的，带着筋，相当好吃，肉本身也做的软糯完全不会老。,NONE
10,dpuser_97459886621,4.0,1.0,1.0,NONE,点餐带走，点菜的为了忽悠我点小锅牛肉，和我说10分钟做好，结果25分钟了，连菜都没做好。我退了一份菜才把餐带走。,NONE
11,匿名用户,5.0,5.0,5.0,NONE,作为一个西贝的重度爱好者，隔三差五就的吃西贝，但是第一次吃牛大棒骨，刷新了我的认知，贼好吃，骨髓吃的...,2019-11-0915:42
12,Qting亭,5.0,5.0,5.0,NONE,西贝第二次来，推荐番茄莜面，浓郁的番茄的香味和莜面融合在一起，很棒。强推他家的酸奶，之前记得是玻璃瓶...,2019-11-0810:39
13,无效信07,5.0,4.0,5.0,NONE,薯条星人自然最爱烤土豆和芋头这道主食小土豆品质也很好小个头大味道最让人惊喜的是搭配的蘸酱蜂蜜...,2019-11-0723:08
14,小宁enning,5.0,5.0,5.0,120元,君太负一层需要排队的店铺之一，剩下的门可罗雀，小桌布很可爱适合拍照～「蒙古奶酪饼」酸甜香口不腻，据...,2019-11-0720:01
