,昵称,口味,环境,服务,人均,评论,时间
0,减肥中,5.0,5.0,5.0,NONE,国庆去西单溜达去吃了这家，人好多，我和男友两个人正好有小桌不需要排队，上菜速度很快，点了酸菜炒莜面和...,2019-10-0509:03
1,Aprilhhhhh,4.0,5.0,5.0,NONE,服务很好人有点小多可能是假日的原因面很好吃两个人吃显然是不够的hhh酸奶每次去西贝都是必点一杯不是很大但是很好喝也不稀也没有很甜,2019-10-0416:01
2,死猫,5.0,5.0,5.0,NONE,每次必点牛肉汤泡馍，黄米凉糕～莜面的一切做法都好吃～,NONE
3,aprilanan安安,5.0,5.0,5.0,NONE,孩子很喜欢「牛肉汤泡馍」,NONE
4,萌丢丢,5.0,4.0,5.0,NONE,大爱他家的黄米凉糕……本已经吃完饭了，又自己下点了一份吃，凉飕飕的口感，配着甜丝丝的桂花蜜酱，很...,2019-10-0219:06
5,可爱溪,5.0,5.0,5.0,NONE,儿童餐永远是最合我胃口的,2019-10-0217:22
6,YukikoYao,5.0,5.0,5.0,120元,超级推荐小锅牛肉的尤其是土豆和胡萝卜软软的超级入味甜甜的～配菜口味超过了牛肉～推荐！再推荐黄米...,2019-09-3018:02
7,Elisha1231,5.0,5.0,1.0,80元,和老爸老妈去东单西单欣赏国庆花坛，午饭时间选择去西单解决~逛了一圈，泰菜新加坡菜都被否定了，最后还是...,2019-09-3012:12
8,走你～go,4.0,4.0,4.0,NONE,[环境]敞开式的厨房吃着放心，大厅略微紧凑舒适度稍差些。[服务]做事很利索，还贴心的准备了大麦茶水,2019-09-2614:24
9,饭桌骑士,5.0,5.0,3.0,110元,前几日去肥猫吃烤鱼，在西贝点了一个蒙古奶酪饼外带，简直太好吃了。心心念的这不又来了么。肉夹馍，15一...,2019-09-2611:53
10,绿意lvy,4.0,4.0,4.0,NONE,好久没在西贝莜面村吃饭了，生意还是那么好，饭点客人挺多的。话说他家价格真的不便宜，我和小伙...,2019-09-2510:05
11,尾号0164,5.0,5.0,5.0,130元,黄米凉糕，蘸桂花糖，凉凉的，香甜不腻，软糯不粘牙，必点～牛窝骨，两人吃了这么大一盘，其实也就一斤一...,2019-09-2420:36
12,loveuJocelyn,5.0,5.0,5.0,50元,周末没有吃早饭赶着去逛街，10:30左右到的这有已经有很多人了。地段人流大没办法。口味不错，上餐也有时间...,2019-09-2412:13
13,申颜睿,5.0,5.0,5.0,100元,吃鱼鱼～送凉糕～嘿嘿～其实我是特别爱他家的凉～就是觉得都是凉的算了吧～很好吃很好吃～羊肉鱼鱼56...,2019-09-2411:25
14,糖糖小妞不吃糖,5.0,5.0,5.0,NONE,全世界的西贝都好吃哦！这种餐厅就是没有惊喜，但绝对保证品质的餐厅，不知道吃什么，那吃西贝准不会错。,NONE
