,昵称,口味,环境,服务,人均,评论,时间
0,笑嘻嘻爱鹿鹿,3.5,5.0,5.0,NONE,感觉西单吃的也不少，翻覆去就不知道吃啥了。地下一层饶了一圈才找到,2020-01-1010:51
1,遗失的美好静,5.0,5.0,5.0,NONE,在君泰B1，下了楼梯就能找到。需要排队，环境还可以吧，就是感觉桌子有点挤，每个桌子离得比较近，服务态度...,2020-01-0713:06
2,shihongfo,4.5,4.5,5.0,NONE,#点评有礼#西贝的西北风味还是值得信赖的，尤其是面食和肉食特别地道，面筋、莜面、饽饽、蒸饺、挂面都可...,2020-01-0620:33
3,wswdmail,5.0,5.0,5.0,100元,西贝的服务没的说口味也好属于常年的回头客,NONE
4,嘻嘻哈哈吃吃喝喝,4.0,4.0,4.0,NONE,这家店吃过很多次，其实最喜欢的是黄米凉糕，这次胃口有点不好，两个女生就只点了两道菜「西红柿浇汁莜面」...,2020-01-0516:46
5,清醒与沉睡之间,5.0,5.0,5.0,140元,每次不知道吃什么的时候，就选西贝，基本都能吃的很开心。这次是和朋友一起来的，她最近不吃牛羊肉，所以选...,2020-01-0422:36
6,匿名用户,3.0,3.0,4.0,75元,今天妈妈老家的亲戚了，正好赶上饭点，带着吃个饭，周五中午，等了五六分钟，就到了，负责我们这边的美...,2020-01-0317:44
7,吃喝玩乐,5.0,5.0,5.0,88元,今天来的这家西贝莜面村位于北京君太大厦地下一层，现在店里还做了一些小活动，给那些排队等餐的顾客，挺好...,2020-01-0311:00
8,赞,4.0,4.0,5.0,NONE,是一牛九吃还是一骨九吃来着？味道就那样！真心贵！！可能是广告做的太好了，吃到实物觉得没广告好,2020-01-0221:39
9,豆腐账,5.0,5.0,5.0,NONE,牛大骨好吃，但是一定堂吃，打包回家味道就不好了,NONE
10,Baby梓辰,2.0,2.0,3.0,NONE,西贝自从从大酒店转成小饭店之后，也是随着GDP年年涨价，凉皮从20多块涨到49元，这个价位也是直线飙升。我...,2020-01-0218:33
11,每天一苹果198,4.5,4.5,4.5,NONE,适合减肥餐，降糖人士首选「莜面蒸饺」「大盘鸡」「黄馍馍」带着老娘出来哈哈，糖尿病人首选，蒸饺每次必...,2020-01-0117:22
12,小贝格桑,4.5,4.5,4.5,100元,西单吃饭，注定是人山人海中的等待。西贝莜面村的上菜速度还是可以的，有沙漏倒计时，承诺半个小时上菜完...,2020-01-0115:07
13,愫玊,4.0,5.0,5.0,NONE,补一波点评～在生日这天又了西贝，服务的小姐姐看我拿了一个capcake在点蜡烛就很热情的问我是不是生日，...,NONE
14,烈火青春雨丝书店,4.0,4.0,4.0,NONE,临时吃中饭选了他们家，蒙古烤饼很好吃，后面这次没选到，下次有机会尝尝看。,NONE
