,昵称,口味,环境,服务,人均,评论,时间
0,雪心,5.0,5.0,5.0,NONE,今天北京温度骤然下降，感觉到了冬季的寒冷，于是中午要约上闺蜜大快朵颐一番。本打算吃火锅驱寒，没想到...,2019-12-3023:54
1,岁月静好,5.0,5.0,5.0,90元,西贝好吃的没话说，面筋味道合适诱人，黄馍馍也是我的最爱。现在还增添了炖大棒骨真是香喷喷。反正吃西贝什...,2019-12-2919:08
2,Joan_若水,5.0,4.5,5.0,NONE,西贝莜面村是一家很地道的农家家常类的饭店，来这里吃是因为周末逛商场，到饭店的时候人特别多，得等位置。...,2019-12-2914:47
3,夷则,3.5,3.5,3.5,NONE,在君太百货地下一层，西单地铁口不远，地方不是很小，但是餐桌摆的特别挤。本来想点大盘鸡的，但是只能做辣...,2019-12-2821:48
4,阿晶_3302,5.0,5.0,5.0,NONE,逛街累到爆，每次都会选择吃西贝，最爱的就是凉皮，每次都是必点品。弟弟最爱牛肉泡馍，还有肉夹馍，百吃不...,2019-12-2821:20
5,菠菜蛋饺,5.0,5.0,5.0,100元,公司午餐太差，中午吃了草，晚上必须补补。吃肉的必选地之一，正值平安夜，还好六点多没排队。点了念念不...,2019-12-2714:53
6,糊涂小姐,4.5,4.5,4.5,105元,和好友俩人过来逛街，刚好是饭点就来B1吃饭，好久没吃西贝了就选了这家～[环境]环境很好，地方很大，座位...,2019-12-2713:10
7,做个梦给你,4.5,4.5,4.5,65元,嘻嘻昨天空盘了没有排队哦。「莜面鱼鱼酸汤」「橄榄油炒三种蘑菇」我真的要强烈推荐番茄酸汤莜面鱼鱼！...,2019-12-2713:08
8,嘟儿萌,0.5,2.5,0.5,NONE,本来一直很信任西贝，觉得干净卫生，昨天颠覆了我对西贝的看法，给孩子点了个儿童餐，有水果还有蒸糕面条，...,NONE
9,口无遮拦的Tara乔,4.5,4.5,4.5,NONE,西贝莜面村(君太百货店)君太百货B1层~适合有娃家庭吃，菜品干净卫生，味道也很不错~有儿童餐椅~菜...,NONE
10,美食探险记bj,4.5,4.5,4.5,100元,最一天三条评论很吃紧啊，总觉得这家我评论过一次了，但又出现在待点评里面。总体感觉西贝家菜品定价略...,2019-12-2517:43
11,ddup,4.5,4.5,4.5,NONE,「莜面蒸饺」「猪肉烩酸菜」西贝莜面村这段时间推出了很多菜点评上还没有更，这回除了每次必点的猪肉烩...,2019-12-2514:38
12,dear豆dou,4.0,5.0,5.0,NONE,人均80多，不用等位环境还好，空间也很大，整体风格很不错服务还可以，热情客气，大麦茶很好喝菜品，性...,2019-12-2322:10
13,靓仔的吃货生活,4.5,4.5,5.0,NONE,郭南小姐姐打call，服务态度超级好，而且也是长得很好看的小姐姐。这是第二次吃西贝莜面了，离上一次吃它...,2019-12-2314:10
14,Sisi,5.0,5.0,4.5,200元,很久没西贝啦还是那个味道哈本想点腰子，但是没有了还是老几样价格不便宜，不过物有所值最爱他们...,2019-12-2212:43
