,昵称,口味,环境,服务,人均,评论,时间
0,Fiona_4191,5.0,5.0,5.0,NONE,西北整体环境就不用多说了，主要还是以大气为主，没啥室内特殊装修或主题，主要是看着干净、舒适。[尴尬...,2019-09-2223:31
1,一颗铜豌豆,5.0,4.0,4.0,100元,莜面村最好吃的一如既往还是莜面，不管是莜面饺子还是莜面卷子最近新上的黄米凉糕，就很有小时候的这种感...,2019-09-2109:49
2,Ms.R_3522,4.0,5.0,5.0,70元,饥肠辘辘的我们只想吃点东西，还要有面。随便先点了一些。烤小土豆和芋头没想到份量超级小，酱比食物还多。...,2019-09-1819:24
3,年光像个旧佳丽,4.0,4.0,4.0,NONE,西贝终于上新菜了,2019-09-1809:27
4,susan8824,4.0,3.0,4.0,80元,西贝换菜单了，之前喜欢的菜基本都保留了，今天还点了新出的鸡肉串和豆角，豆角好好吃啊下次还要吃,NONE
5,熊猫爱狗蛋儿,5.0,5.0,5.0,NONE,朋友对他家的「张爷爷酸汤手工空心挂面」情有独钟，每次吃西贝都会点，这次差点以为没有了就去吃别的了。「...,2019-09-1623:20
6,CC鸡哥,1.0,1.0,1.0,NONE,你们客服真牛逼！5102号客服直接说找门店反馈客服问题，5147直接怼骂用户,NONE
7,刘会军_9302,5.0,5.0,5.0,NONE,中秋节，正好赶在君太，就选择了西贝。上午还在和做餐饮的朋友说西贝的繁荣。在众多的餐饮中，西贝是吃饭次...,2019-09-1506:47
8,ruinencity,1.0,1.0,1.0,46元,我真的是服了，本来我属于那种吃完懒得写评论的人，但是这次真是给我气到爆,NONE
9,AI_红魔小饼,5.0,5.0,5.0,100元,#点评有礼#西贝莜面村，巴彦淖尔的骄傲！从最好临河的几家档次高低搭配的饭店，到现在全国各大商场里的西...,2019-09-1213:56
10,陌上花_9339,3.0,4.0,3.0,85元,在君太逛了几圈发现大多都是小吃，就只有西贝和云海肴看着要正式一点，最后就选定这家了，店面挺大，遗憾的...,2019-09-1210:39
11,呠坳,5.0,4.0,5.0,NONE,吃过好几次啦看着一点点涨价上的去年烤鱼99呢现在109,NONE
12,玉米,5.0,5.0,5.0,NONE,秋天到了，该补补了。我今天上西贝，吃了一个铁板炒羊肉。加上两个黄馍馍。它的羊肉炒的非常好吃里面加点洋...,2019-09-1016:37
13,doublezl9999,5.0,5.0,5.0,120元,和朋友一共三人，尝尝西贝~「牛大骨」这个牛肋肉真的真的太香啦~好多肉，得有两三斤，三个人都吃完了，肥...,2019-09-1013:04
14,jia383221,5.0,4.0,4.0,NONE,跟蜜蜜们约西单，到西贝直接就来了，这回第一次点了草原直供酸湛，还不错，细腻湛香，就是甜了＋手...,2019-09-0918:20
