,昵称,口味,环境,服务,人均,评论,时间
0,可乐不挑食,4.5,4.0,4.5,100元,作为西北菜的代表餐厅，西贝味道好，服务棒，价格合理，我最爱的餐厅之一，无限回购！大棒骨是必点菜之一，...,2020-03-2417:49
1,sagacqq,4.0,4.0,4.5,200元,西贝莜面村据说很多年前还是一家路边摊，一直也没有什么特别的，据说后来有人给投资了，这些年迅速发现，基...,2019-12-2913:19
2,三贼宝宝,4.5,4.0,4.0,NONE,高中同学来北京，左选右选最后还是定了吃西贝。这家店，在西单君太百货地下一层，来的比较是时间，顾客还...,2020-01-0516:47
3,Ni,3.5,4.0,4.0,100元,如标题到的，兜兜转转到西贝。不知道大家会不会有类似的经历，约局之后，前前后后筛筛选选在经历位置，口...,2020-01-2313:36
4,主路先行,5.0,4.5,3.5,NONE,工作日晚上六点钟左右到的，等了一会儿位。餐厅里从经理到服务员，每个人都异常忙碌。穿黑色制服的经理甚至...,2020-01-1623:36
5,angeliaweiwei,5.0,5.0,5.0,NONE,一直就很喜欢吃西贝，尤其是黄米凉糕，里边有葡萄干和蔓越莓，酸汤莜面鱼鱼，也好吃，泡多久都不会变成糟糟...,2020-01-0615:40
6,啦啦啦,5.0,5.0,5.0,NONE,今天中午和几个关系不错的好朋友，来到这家饭店里面吃饭，之前一直听说这家饭店挺不错的，然后我就带着他们...,2020-01-0419:55
7,靖墨,5.0,4.0,4.0,100元,今天分享闭着眼点菜，道道都好吃的西贝莜面村「西红柿浇汁莜面」老家也有莜面，地摊几块钱吃到撑，这里经...,2019-10-2417:54
8,Moira_晓蒙,5.0,4.5,5.0,115元,好久不见，西贝，你家菜也太好吃了吧！,2020-01-3112:46
9,一把伞,4.5,5.0,5.0,NONE,在君太百货的B1层很火爆啊每次去都要排一阵呢[服务]排队的时候会有小姐姐很热情的倒热水送小吃这次去...,2019-12-2219:27
10,七爷,4.0,4.0,4.0,NONE,今天想要吃的很健康，就了西贝。本是想吃莜面卷因为太喜欢它的番茄酱汁，但是工作人员告知现在暂时没有...,2020-03-2113:58
11,ZK_616,5.0,5.0,5.0,100元,周末哪里吃饭人都多，错开饭点儿，来到西贝，没有等位，下午开始吃午饭。也许是周末早餐吃得晚的缘故，午...,2020-01-0516:03
12,RRRRainie,4.5,5.0,5.0,NONE,总来西单一到君太就能看到西贝门口有很明显的牛大骨牛大骨：基本上大家都会点在门口选好服务员会...,2020-02-2219:32
13,小石头,4.5,4.5,4.5,NONE,疫情期间的西贝，服务真的是非常周到，至少在消毒这块是很多餐饮企业没法比的，必须得赞一个。太久没吃羊...,2020-03-2113:51
14,我很爱吃,5.0,5.0,5.0,NONE,西北风味，做成连锁真的不容易。现在市场复苏，理应鼎力支持。之前也是隔三差五的就会去一次。服务员非常...,2020-03-2314:15
