,昵称,口味,环境,服务,人均,评论,时间
0,dongning_chen,5.0,5.0,5.0,100元,牛肋骨真是太赞了！很嫩，味道好。牛肉汤泡馍也很好吃，汤很鲜，里面牛肉粒特别多。三种蘑菇也好吃。原本是冲着黄馍馍的，每一个菜都是惊喜。而且现在西北的服务也是越越完美了，有海底捞的风范！,NONE
1,北京土著吃货正在减肥,5.0,5.0,5.0,NONE,因为好停车，所以选择君太西贝味道一如既往！最爱黄米凉糕,2019-11-0522:28
2,狂奔的吃货,5.0,5.0,5.0,70元,这次来北京学习，中午饭和朋友在西贝解决，店里服务员很热情，比昆山的西贝服务热情高好几倍,2019-11-0521:50
3,拥抱明哥呦,5.0,4.0,4.0,100元,西北菜首选，听朋友们经常说起西贝，也在公交车上，电梯里看见，今天终于来了，总体来说还不错，上菜还是挺...,2019-11-0516:58
4,WenYiAn1314,5.0,5.0,5.0,NONE,我家宝宝最爱吃西贝的儿童餐，有的时候在外面吃饭，还是要考虑一下宝宝的喜好，当然，西贝的拌凉是我最喜...,2019-11-0315:43
5,茜茜茜xi,4.0,4.0,4.0,NONE,上次去吃西贝点的烤羊排木有吃到这个，中午那顿消化完了饿了，过来打包一份肉吃,NONE
6,思聪的妹妹,3.0,4.0,4.0,100元,性价比好低，怎么所有菜都涨价了。而且口味一般，只有【莜面】好吃。推荐「油泼沙葱莜面」这个上的，有...,2019-11-0211:14
7,就是我_6044,4.0,4.0,4.0,NONE,今天有空西单游玩，就到君太百货店西贝莜面村店用餐，感觉还是挺好的！经常在西贝莜面里用餐，首先环境...,2019-11-0114:06
8,匿名用户,1.0,1.0,1.0,120元,点了一块牛脊骨，没自己挑让服务员挑的，上就一块儿大骨头，肉没几口，还60多，感觉被宰了,NONE
9,chengxm90,4.0,4.0,4.0,NONE,逛君太累了在西贝门口坐着休息，服务员就送来了茶水，这种服务真是太好了。,NONE
10,飒露紫,4.0,4.0,4.0,100元,好久没吃西贝了，周末在西单周边转悠，饭点去没排多久就吃上了，店内服务也很优质高效，味道一如即往对得起...,2019-10-3021:46
11,lijinyu,5.0,5.0,5.0,NONE,[环境]每家西贝的装修都很相似，喜欢红白相间格子的桌布，显得很干净。「西红柿浇汁莜面」超级好吃，据说...,2019-10-3012:06
12,sihanma,5.0,4.0,5.0,NONE,又一次来到西贝莜面村，这次是西单君太店，一个不大的店。店员很热情，一行人落座后马上点菜。前两天看广告...,2019-10-3007:14
13,X,5.0,5.0,3.0,NONE,第一次吃西北菜着实惊艳到了豪好吃 就像菜单上写的闭着眼睛点也好吃「西红柿浇汁莜面」面的酱料很香...,NONE
14,故宫里的猫,3.0,5.0,5.0,NONE,南方人不太能吃的惯的一家饭馆-蒙古菜和清真菜居多牛羊肉面条是其特色『菜品』这是我第二次打卡这...,2019-10-2916:41
