,昵称,口味,环境,服务,人均,评论,时间
0,匿名用户,4.0,4.0,4.0,90元,一直来西贝都是肯定馋大面筋了，每次必点。这店门口排队发小吃零食，还有发小玩具，让娃和宝妈心甘情愿排队呀…酥皮肉夹馍好吃，不油不腻。平时不喜肉夹馍的我，都吃了几口。肉肉炖豆腐，里的豆腐很入味，老人喜欢。,NONE
1,sansan76829773,5.0,4.5,4.5,110元,又想吃肉了，冬天一冷就想吃肉。今天特别想吃西贝的牛肉，就了。西单这边有两家，君泰因为在地下一层比...,2019-12-0814:40
2,匿名用户,5.0,5.0,5.0,NONE,常去的一家，环境、菜品都是令人放心的稳定。无论是注重食品安全的，还是健康饮食、菜品口味，请人吃饭不会...,2019-12-0716:22
3,李小咬69,4.5,4.5,4.5,NONE,心心念念的西贝，iloveyou，开放式厨房，让食客感觉很透明敞亮，厨师工作人员都能看的一清二楚。店里的...,NONE
4,dpuser_47178604174,5.0,5.0,5.0,100元,第三次来君太店吃啦，还是一如既往的好服务好味道～中午大概11:40到的，不用排队，但如果12点后到就基本要...,2019-12-0521:58
5,五彩斑斓的黑,4.0,3.0,3.0,NONE,西贝是一家本吃土少女再也不会去的，甚至当时就想丢下菜单出来的店,2019-12-03  更新于2019-12-0400:18
6,恭喜生活喜提我狗命,4.0,5.0,5.0,NONE,和朋友一起来吃他家的凉皮一直很喜欢，每次来必吃，可是真的好贵呀，46块钱。买了个会员，真没觉得有啥好用...,2019-12-0116:57
7,败家滴小妞,5.0,5.0,5.0,NONE,喜欢西贝村莜面，他们家每道菜都好吃的。主要是主食好吃，莜面和面都很好吃，再加上小米凉糕，两个人光主...,2019-12-0116:20
8,嘟明明,4.0,4.0,4.0,100元,今天想去吃火锅，隔壁排不上号又去了西贝，张爷爷酸汤手工空心挂面，朋友不吃面，酸汤莜面鱼鱼一个人又吃不...,2019-11-3019:20
9,嘟嘟嘟,4.0,4.0,5.0,180元,在君太地下一层，下电梯的斜对面的里面就是，中午也没怎么等位，十分钟不到吧今天点的菜没搭配好，不过单...,2019-11-3018:34
10,么事寒耍,3.0,4.0,4.0,NONE,首先最大的感觉是贵，一盘凉皮40好几，感觉最多外边卖5块的羊肉串13，当然了，在购物中心里的环境和服务是...,2019-11-2914:08
11,爱吃甜甜圈的喵,5.0,4.0,4.0,150元,一般都是实在想不起来吃什么了就去西贝吃个凉皮呀，羊肉串呀，酸奶呀，小米凉糕这类。今天中午不想吃大鱼...,2019-11-2814:38
12,ai国者,5.0,5.0,5.0,NONE,西单这边的美食还是很多的，今天体验的是西单君太里面的西贝，进门店员服务都很热情，点完菜后会很仪式感的...,2019-11-2810:26
13,匿名用户,4.0,4.0,1.0,250元,菜品很少，服务员拉会员现象非常恶劣。被忽悠299办会员，说是给开发票，但电子票到后才发现只有饭钱。,NONE
14,Amberimzyj,4.0,4.0,4.0,80元,说实话真的很贵，作为一个老家内蒙古的人，心里很清楚莜面栲栳栳这样的菜在我们那里几乎是家家户户都会做的...,2019-11-2619:32
