,昵称,口味,环境,服务,人均,评论,时间
0,不要香菜多给葱,4.0,4.0,2.5,NONE,一个人去吃西贝，点了个酸汤莜面（主食）点了个胡麻油炒鸡蛋，感觉够吃了，服务员还一个劲的推荐其他菜品：...,2020-01-1412:26
1,()姗姗來遲~~,3.5,3.5,4.5,NONE,西贝莜面村，这家店在商场的地下的一层，下了电梯就能看到，占地面积大，还比较好找。莜面，是粗粮，属于山...,2019-12-3021:25
2,gooder,4.0,4.0,4.0,100元,[薄荷]环境：人很多有点挤但是很干净舒适哈！标志性的红桌布真的很有氛围感哈哈哈哈哈哈＊「蒙古牛大骨...,2020-01-2611:50
3,庆庆,3.5,3.5,3.5,110元,两个月了，终于坐在饭馆里吃顿饭了。心里骄傲啊！我们的大中国，伟大,2020-03-1921:25
4,think_girl,4.5,4.5,4.5,NONE,前带孩子在这吃了最后一顿工作餐，当时都没有想到疫情的这么快，这么突然，现在看只能等疫情结束，餐...,2020-02-0715:31
5,sallylcz,4.5,5.0,4.5,NONE,周五晚上稍微等了一小会儿就进去了，两个人也给了我一张大桌，红白格子的小桌布也是十分讨喜了。「西红柿浇...,2020-01-1909:47
6,一块小冰糖,4.0,4.0,4.0,NONE,西贝，第一次，就是西单君太店。从此，爱上了这个味道。这次又过来，味道一直很好吃。[薄荷]环境：店面...,2020-01-0108:26
7,雪了个雪呀,4.0,4.0,4.0,NONE,[薄荷]环境：君太负一楼，周六晚上五点去的，不用排队[服务铃]服务：上菜速度挺快，不过服务没有传说中那...,2019-12-3015:25
8,laoxuxu,4.5,4.5,4.5,NONE,「牛棒骨(前骨)」卖相完美，颜值高，片下来的牛蹄筋，软软糯糯，炖的非常入味，一大块前骨分量很大，两个人...,2019-12-1020:25
9,格子猫R,3.5,4.0,4.0,130元,本来想好好逛逛街，顺便吃个饭，结果哪哪人都多。。然后逛了半天，逛到西贝，就吃这吧～不知道为啥西贝的...,2019-12-3120:59
10,xinaxin88,5.0,4.0,4.0,NONE,工作日中午来的没想到需要等位，不过翻桌速度还是挺快的。开在寸土寸金的西单，面积也有点小，座位有些紧凑...,2020-02-2620:55
11,是33得66哦,3.5,3.5,3.5,80元,知道西北出新品了，就迫不及待要来吃！！「蒙古湛酪饼」面有嚼劲外酥脆！湛酪炒鸡多，轻轻就可...,2020-02-1319:09
12,裆裆爱玩水,5.0,4.5,5.0,150元,西贝莜面村算是一个大牌连锁了，西单店在西单君太百货地下一层，平时来都要等位。但是现在的情况，都见不...,2020-02-1117:10
13,失,4.0,3.0,4.0,160元,之前一直听说过，一直没有去种草，听说他家莜面是特色，年前就去拔草了，位置很好找，在西单君太百货也是，...,2020-02-1109:37
14,吃啥啥不剩,4.5,4.5,4.0,100元,[薄荷]环境：餐厅在地下一层，环境简洁大气，不失优雅。[服务铃]服务：服务人员活动性比较强，服务很到...,2020-02-1015:26
