,昵称,口味,环境,服务,人均,评论,时间
0,哈喽买太阳,5.0,5.0,5.0,NONE,逛街一天热的不行，选择吃凉，两个人都不饿，就点了一份凉，一份牛脊骨，1.3斤，两道菜都很好吃，虽然...,2019-09-0915:13
1,Gangying_,3.0,3.0,4.0,NONE,在西单大悦城里，本以为吃大棒骨是整个的，没想到是已经切好的了。菜码较小，菜价较贵，不太划算。餐厅...,2019-09-0717:49
2,兔大兔兔兔,4.0,4.0,4.0,NONE,运动之前随便吃两口！不到五点到的没什么一直爱吃西贝的面筋经常叫外卖「西贝面筋」味道好就是有点油...,2019-09-0716:14
3,Yvonne_7361,5.0,5.0,5.0,NONE,总体味道不错，就是铁板粉丝包菜都是包菜，粉丝太少了,NONE
4,超级花痴女,5.0,5.0,5.0,NONE,服务还好口感一般老是推销办299的会员卡,NONE
5,颜SIR_7478,4.0,4.0,5.0,NONE,今天又是一睁眼10点多的奏，收拾收拾直接去西单君太百货西贝看望老朋友位置：西单君太百货地下一层...,2019-09-0515:49
6,嗷呜～减肉肉,4.0,4.0,4.0,110元,西贝属于挑哪个菜都不会出错，但是性价比不高的类型；炖牛肉没有拍上，感觉味道不错；选择困难综合症的时候，可以西北随便点点儿吃,NONE
7,opp123456007,4.0,4.0,2.0,90元,感觉这次更好吃了呀，哈哈拔草蒙古奶酪饼。【蒙古奶酪饼】我以为是很大一块，就是披萨～哈哈，里面的...,2019-09-0216:14
8,李晓晓_287,4.0,4.0,4.0,56元,上次朋友带我吃了一次感觉还行就打包一个56元不便宜服务还是好的,NONE
9,吃货没白来,5.0,5.0,5.0,115元,第一次打卡西贝莜面村，店里红白小格子桌布，座位上有小熊陪伴，餐具也好看。进店点了沙棘汁、酸奶、莜面鱼...,2019-09-0115:11
10,王昊宇_5929,4.0,4.0,4.0,NONE,好吃是挺好吃的，就是价格有一点点小贵，如果工作了还可以接受，一个菜基本都是50以上，尤其羊肉还是挺正宗的，桂花酱很好吃很甜，面食还是很有西北特色，总之，有钱真好，所有的菜点一个遍！哈哈哈哈哈哈哈,NONE
11,冷月妖狐,4.0,5.0,5.0,NONE,去的时候八点了，还在有人排队，一直很喜欢的一家店。羊肉串每次都是必点的，但是这次真的很失望，感觉价格...,2019-08-3123:18
12,吃，是主观的一件事,4.0,4.0,4.0,0元,大串+凉皮组合完美，山药红豆糕微有冰箱味挺遗憾，可改进。沙棘馅的月饼微酸，居然还可以吃着，君太店的好处是吃饱足，直接奔5层OP专柜,NONE
13,夏天的栀子花花开,4.0,1.0,3.0,NONE,在附近逛街，不知道吃什么，就来吃这个，本身是北方人，感觉口味倒是挺符合的，但是这家店还有一些问题店...,2019-08-3110:48
14,Tiffany雅楠,3.0,3.0,2.0,100元,可能是今年年内最后一次吃了，感觉西贝的服务真是下降不少，这个店肯定以后绕道了。让打包叫了4回服务员，...,2019-08-2820:20
