,昵称,口味,环境,服务,人均,评论,时间
0,狂笑天使,5.0,5.0,5.0,80元,今天去参加西贝莜面村的亲子活动，让孩子们认识了莜面，还动手做了莜面鱼鱼和莜面窝窝。很开心。西贝很到位...,2019-11-0314:13
1,dpuser_9578005723,5.0,5.0,5.0,NONE,这里是总店，果然够气派，从外观上就有一种西北的气息。大拌菜和凉皮一如既往地好吃，羊肉串火候刚好，比某...,2019-11-0223:25
2,kikyo66,4.0,4.0,4.0,NONE,第二次这家了他们家特有的粮食茶一如既往的好喝蒙古湛酪饼，拉丝的湛酪，趁热吃挺香的牛气冲天的牛扇...,2019-11-0118:06
3,慕言,5.0,5.0,5.0,NONE,路过这里，人很多，推荐大家去看看,NONE
4,大雄时光机,4.0,4.0,4.0,NONE,因为第一次知道西贝以及见到的西贝都在商场里，加上清的品牌形象，我一直以为西贝是类似绿茶这种商场连锁...,2019-11-0110:13
5,清心,4.0,5.0,5.0,95元,停车位较充足，没车位时可停在旁边小区自费。有热情的迎宾和等位区，提供茶水和小食品，礼貌亲切。可以在...,2019-10-2718:41
6,阿尔法的biubiu,5.0,5.0,5.0,NONE,来到了西贝的第一家店，很有纪念意义,NONE
7,未曾谋面的陌生人,5.0,5.0,5.0,NONE,很知名的企业。[服务]很不错、很主动、随时关注到你很贴心。[环境]一进门口好多牛肉、好多人在卖。自...,2019-10-2621:27
8,jason7918,4.0,4.0,4.0,100元,以前去的都是商场里的西贝，这次的是六里桥店，店面很大，门口有不少免费停车，但是要早，晚了就停满了...,2019-10-2613:53
9,蔷薇_99343,5.0,5.0,5.0,NONE,路过西贝莜面村，就想进买点吃的带回家吃。从进门就有人热情招待，落座后有人给送了大麦吃茶，和玉米粥。...,2019-10-26  更新于2019-10-2716:54
10,左跑跑_327,5.0,5.0,5.0,NONE,一直很喜欢西贝，感觉里边的每个菜都很好吃。这家店面很大,NONE
11,小呢莫寒,5.0,5.0,5.0,100元,不愧为西贝莜面村的第一家店，在这里真是见识到了西北的大，是好大好大，门口有地方停车不过建议要早啊，...,2019-10-2510:14
12,落翎123,5.0,5.0,5.0,NONE,翻出一张上次赠的凉糕券，还有3天过期，就过再吃一顿吧，没什么想吃的时候西贝就对了，闭着眼睛点，道...,2019-10-2220:14
13,0小muma0,5.0,5.0,5.0,NONE,其实价钱还是有点贵，胜在口味好。「黄馍馍」很优秀，不甜有香气「蘑菇汤莜面鱼鱼」这个，和想象的的味道不...,NONE
14,美女小洁,5.0,5.0,5.0,100元,西贝在北京的总店。今天还是朋友带过去了，吃完才想起要拍照,2019-10-1920:01
