,昵称,口味,环境,服务,人均,评论,时间
0,大薇薇Viviki,3.5,3.5,5.0,NONE,晚上去的，人超级多。点的都是推荐菜：凉皮、川鱼鱼、肉夹馍、羊肉串、酸奶、还有一个忘了首先口味肯定没...,2019-12-2913:30
1,万能依宝爸,5.0,5.0,5.0,100元,很有名气的西贝，带孩子去过很多次，这家店是第一次来。门口有停车位，很好停车。进到里面的布局都基本一样...,2019-12-2821:46
2,折腾没够吴_,4.0,4.0,4.0,NONE,开在离家不远处，是常去吃的地方，价格适中，喜欢吃他家的凉皮哈哈哈，劲道好吃,NONE
3,雪山,5.0,5.0,5.0,NONE,平时去都不用排队，今天去排了会队，消失了好久的功夫鱼居然今天有卖，毫不犹豫的点了一条，味道还是一如即...,2019-12-2723:46
4,沙漠一只雕,5.0,5.0,5.0,150元,这家店真的有历史了。路过n次第一次进来[环境]去过西贝里比较大的一个了，真的是不一样吧[服务]服务...,2019-12-2716:21
5,Euqinut,3.5,3.5,5.0,NONE,去坡峰岭回来吃的西贝要了一个秋葵健康要了一个凉皮还不错要了一个蒸饺韭菜鸡蛋的好吃要了两串羊肉串不值那个价格西贝一直都是性价比不高的感觉啊,2019-12-2619:40
6,猛烈焰奇侠,3.5,3.5,3.0,NONE,总体不错，门店的品质总体比商场的好。大凉的汤汁调的简直是绝，酸甜可口推荐。功夫鱼，每天限量，去晚...,NONE
7,好吃狗儿啊,5.0,4.5,5.0,100元,有日子没过来吃这口儿了，进门儿就是炖牛骨的味道，热气腾腾的看着喜兴哈！环境宽敞明亮，服务很好！推荐的...,2019-12-2513:37
8,the_pirate_ship,4.5,4.5,4.5,NONE,已经忘记是第几次来吃了，菜好，服务好,NONE
9,悠闲婷婷,5.0,5.0,5.0,150元,最好吃的西贝～服务最好的西贝～虽然好像是统一餐食，但这家最好～最美味～如果觉得西北不好吃的人，不...,2019-12-2419:41
10,大白Two,4.0,4.0,4.0,150元,总体还可以，中午去吃功夫鱼已经没有了，就是想吃鱼，换了一个品，时间等得过于久了一些，沙漏都流完了鱼...,2019-12-2323:01
11,sammi范兒,4.0,3.5,3.5,100元,开了很多年的一家西贝，占地规模比较大，包间很多，停车位充足，适合家庭聚餐。[环境]环境比较旧...,2019-12-2315:16
12,chanlay,4.5,3.5,4.0,NONE,从小就有记忆的一家店，应该是西贝莜面村北京第一家吧。贼大。牛扇骨3.5斤一上来就有一种要扶墙走的预感。...,2019-12-2022:15
13,dpuser_8111246855,5.0,4.0,5.0,NONE,最喜欢他们家的果蔬大拌菜，服务态度也是非常赞了,NONE
14,shuang_0210,3.5,3.5,5.0,NONE,服务上感觉要赶超海底捞的趋势尤其是是服务员对菜品上有一定的处置权我特意问了下那个酸奶又没糖服务员...,2019-12-2013:16
