,昵称,口味,环境,服务,人均,评论,时间
0,垚_4689,4.5,4.0,5.0,NONE,西贝莜面村一直是我们一家人很喜欢去的店，菜品的味道很不错，喜欢吃他家的大拌菜，牛肉土豆，羊肉串，肉夹...,NONE
1,婴儿啦,5.0,5.0,5.0,130元,喜欢去西北吃饭，菜品会按时节更换，服务也很到位，每次用餐完毕会询问用餐感受,NONE
2,匿名用户,4.0,3.0,4.0,150元,门口没车位，让往小区停，要收费这事儿，怎么不提前说，保安还那种语气说“在哪儿不都一样收费……”菜品还可以就想上天，人均消费也不低呀！你上天吧，我以后不就是了！,NONE
3,Moonlight林三岁,5.0,4.0,5.0,NONE,我是第一次知道原西北不是那个只有小连锁店铺的西贝竟然是一个拥有4层大楼的西贝可以说气势上已经压倒...,2019-12-1018:51
4,dpuser_9664961945,4.0,4.0,2.0,NONE,工商信用卡吃西贝莜面村可以无门槛减100元，每周可以享受一次机会，大家快来吃霸王餐呀！说到这一点还是...,2019-12-0921:38
5,Lemon,5.0,4.5,4.5,NONE,地理位置比较好找，离六里桥地铁站很，还有停车位，服务员小姐姐也很热情，会贴心的给你讲解本店特色，之...,2019-12-0920:13
6,优优_6589,5.0,5.0,5.0,NONE,今天来六里桥办事，中午查看周边美食，选择西贝没有错，点了品奶酪饼，味道真心不错，只是小小一个就...,2019-12-0918:49
7,吃货大马。,5.0,5.0,5.0,100元,西贝莜面村的粉丝，之前经常在永旺那边吃，后来知道这家店离家也不远就来品尝，[服务]西贝的服务我一直很...,2019-12-0821:35
8,步小兔她娘,5.0,5.0,5.0,NONE,西贝，永远都是那么多人，饭点儿永远都是排大队。娃就是偏爱他家的莜面，蘑菇汤的，一直都是。中午怕排队，...,2019-12-0819:23
9,焱阳,4.0,4.5,4.5,100元,西贝莜面村在中国餐饮行业数一数二的，全国有200多家门店，做到这个地步也是领人敬佩听朋友说西贝是个很...,2019-12-0723:06
10,丫头双,4.5,5.0,5.0,NONE,口味给四星半不是人家才不好，是我吃不惯羊肉！但是环境和服务真是没得说和海底捞有一拼，老公孩子同时...,2019-12-0719:23
11,fengzhihu,3.5,3.5,4.0,NONE,周末中午西贝，一点钟后人会少一点。黄米粘糕炸油糕豆角丝都不错，炒莜面不怎么样，没什么香味，味道很普通。其他依旧。,NONE
12,少杰_2643,5.0,5.0,5.0,80元,这个店面很好找，就在六里桥高速口那，人特别多，口味比较正宗，据说是北京第一家店，服务员很到位，态度很...,2019-12-0612:07
13,珊瑚丁丁,4.5,4.5,4.5,NONE,大学就开始吃西贝，很喜欢这种风味，最近几年增加了很多菜，品质还没有下降超级惊喜呀！特别喜欢出的湛...,2019-12-0511:59
14,在NYC的叶子,5.0,4.5,5.0,70元,这家西贝莜面村是这个品牌的总店，也是我最常的，干净卫生亲切周到，总店确实不一样，番茄汤更浓，菜更好...,2019-12-0423:55
