,昵称,口味,环境,服务,人均,评论,时间
0,littlemoones,5.0,5.0,5.0,NONE,疫情期间，虽然不能去餐厅吃饭，但不影响在家享受美味。西贝出了不少外卖餐品，有牛大骨、羊蝎子、经典菜肴...,2020-03-0112:54
1,W是小馋猫,4.5,4.5,4.5,NONE,在大众点评里搜到评价再高的西贝，头图的视频勾起了我的馋虫,2020-03-1019:13
2,宝宝,5.0,5.0,5.0,NONE,吃西北菜一定要西贝莜面村[薄荷]环境：总店位于 六里桥西北角，开业20年，主打西北菜系，主料...,2020-01-1422:37
3,姣儿Nirvana,4.5,4.5,4.5,NONE,这是疫情期间找到的第一家开门营业接待堂食的餐馆，但用餐人并不多，进门登记信息测体温洗手消毒，全部被安排早独立的包间，菜品相比正常营业少一些，但招牌基本都有。上菜速度超级快，速吃速决。满意,NONE
4,Yanyanlady,5.0,5.0,5.0,130元,病毒期间还坚持开的餐厅～和朋友去吃饭，几乎没什么人，我们俩人直接进了包间，隔离的很好。餐具都是热的消...,2020-02-0120:06
5,Gjiiii,4.0,4.0,4.5,NONE,环境还可以吧。服务也还可以。其实每家门店都差不多。点了不少菜，全是肉菜，都挺硬的。就是总感觉他家的量...,2020-03-1400:05
6,大番茄子1030,4.5,4.5,4.5,120元,六里桥这个西贝在一座独立的楼里，至少有两层，出了地铁站过了地下通道就能看见了。西贝不光是羊排好吃，牛...,2020-03-0409:34
7,亲嘴能补钙,5.0,5.0,5.0,150元,「蒙古酸奶」非常好吃。比超市的还好吃。环境:北方农村老家的装饰，特别怀旧。坐在包间里感觉就像是回...,2019-11-3015:40
8,汩汩嗒,4.5,4.5,4.5,NONE,六里桥汽车客运站马路对面，一家挺大的西贝，好像是总店，不确定，两三层都是西贝家的，地理位置还是很显眼...,2020-02-2313:42
9,360U1311527840,0.5,2.5,2.5,360元,男票说喜欢吃羊腿，然后就想到了西贝董事在疫情期间真的很人性很为员工考虑，就给他叫了这家店的外卖，结...,2020-03-2614:53
10,壮壮最崇拜的姐姐,3.5,3.5,3.5,NONE,其实我每次去都不知道吃什么……老是觉得吧没有什么可以点的菜……不过他家的主食都挺好吃的…那个窝头……...,NONE
11,JackyZhang,5.0,5.0,5.0,NONE,家附近的西贝莜面村，这家是北京的总店，装修很有特点，有一种在陕北窑洞用餐的感觉，服务态度很好，不会太...,NONE
12,孙成玺,5.0,5.0,5.0,165元,非常认可这家店，多少钱都能吃一顿，16个人2600元，吃的非常好，在他家吃饭也都快10年了，人少就在楼下吃人...,2020-03-2314:10
13,caser32,4.5,4.0,4.5,NONE,去了多少回，疫情之前得年夜饭就是在这儿吃的。听说解封了麻溜赶过来。到的时间不凑巧。单间用完了不能两口...,2020-03-2218:36
14,Huar_7700,1.5,1.5,0.5,NONE,疫情期间来打包，站在那等餐没人招呼，自己找座位坐下，菜都做好了也没人通知，被晾在一边…堂食客人并不多，一众服务员不知道走来走去干嘛…晕…,NONE
