,昵称,口味,环境,服务,人均,评论,时间
0,Sirius_zz,4.5,4.5,4.5,NONE,喜欢美食﹌喜欢风景热爱生活﹌乐于发现生活中的小美好?...,2020-01-2710:13
1,球小君,4.0,4.0,4.0,NONE,我前订了一间包间，就餐当天中午来电问我是否需要前订菜，多次问我是否要订冰鱼，因为刺儿太多就没有订...,NONE
2,醉美_2462,5.0,4.0,5.0,150元,又一次来到六里桥莜面村，一进大厅，浓浓的西北风，大块的牛骨头，看着流口水啊。所以点了牛肋骨，稍微...,2020-01-2420:11
3,无忧泰美丽,4.5,4.5,4.5,NONE,赶上大年三十包间取消了百分之八十我们来的时候人很少正好清净说说交通早到就有停车位很充裕进来每...,2020-01-2411:56
4,高幸幸,3.5,4.0,4.0,NONE,西贝的菜单隔段时间好像就会有点儿变化但是整体来说就是选择很少单价偏高[薄荷]环境：在四环边上是个...,2020-01-2317:51
5,小可爱猫猪,4.5,4.5,4.5,NONE,环境还是不错的，我们订了一个包间，服务员态度很好，也很热情。牛膝骨很好吃，非常入味，里面的骨髓也非...,2020-01-2223:42
6,dpuser_4863526755,4.0,5.0,5.0,NONE,很大的一家店，上下两层，服务员很到位。菜的价格比上海西贝要略微贵一些。四个人没点什么菜花了将500，主要是没吃上个啥。味道还是不错的。,NONE
7,添添姐jyj,4.0,4.0,4.0,150元,「烤羊腿」这个真的不错，分量也很足。肉不柴，肉还是很香「西红柿浇汁莜面」这个还是不错的，软乎乎的。...,2020-01-2020:50
8,dpuser_61716753684,5.0,5.0,5.0,NONE,味道还不错哦，装修风格很西北风，像是在窑洞里，据说是北京比较古老的西贝了，我同学说她小时候这个店就在...,2020-01-2018:50
9,iGang,4.5,4.5,4.5,NONE,西贝的第一批老店，菜单比商场里的多一些，点了「烤羊背」，888，不便宜，但口感很好，还可以做孜然的。「...,2020-01-1821:14
10,蛐蛐,5.0,5.0,5.0,NONE,离家近的一个餐厅，家人很喜欢吃。我最爱吃他们的莜面，可惜经常卖没了。推荐大骨头，炖鱼，有包间，包间条...,NONE
11,zh9319,4.0,4.0,5.0,NONE,差不多快2年没去过西贝吃饭了，近日和朋友去西贝确实和以前不一样了，原感觉西贝是一个主药吃主食（主食...,2020-01-1708:56
12,黑煤球白煤球,4.0,4.0,4.0,NONE,环境:整洁，不拥挤和嘈杂。服务:整体不错，特别是各个分店统一配备的沙漏，让食客根本不用操心上菜的速度...,2020-01-1621:01
13,一二三亖,5.0,5.0,5.0,100元,西贝莜面村老是听周边人说怎么好吃，就是一直没碰到机会去，这回两家子人约好了时间，准备过去尝尝，因为饿...,2020-01-1422:41
14,songxiaonan0305,5.0,5.0,5.0,NONE,下大雪的晚上去的，到的时候已经晚上八点多了，门口有停车位，还有冒着大雪帮着指挥的大爷，很贴心。店里的...,2020-01-1421:06
