,昵称,口味,环境,服务,人均,评论,时间
0,zhuqing1314,4.5,3.5,4.0,NONE,适合老人孩子，家人集体餐。但是目前由于疫情特殊时期，已经有足足两个月没有出门儿啦。很怀念西贝莜麦面...,NONE
1,灵动诺诺,5.0,5.0,4.5,120元,补春节前点评啦，木有照片见谅。听说这家店是北京总店，确实是大气、富丽堂皇！服务非常热情，菜品一如既...,2020-03-1309:17
2,炫酷GG,5.0,5.0,5.0,100元,这家是北京西贝最老的店从上学时候他家就在六里桥这里，外观保持了十多年了吧，依然看着很大气。菜品的口味没的说了一直保持着高水准。今年又续费了他家的会员，这次本来想去堂食的可惜突然不行了只好打包回去吃了。,2020-03-1217:32
3,slgnesin,0.5,0.5,0.5,NONE,希望你们早点倒闭，破莜面卖那么贵，**吧你们，臭**赶紧倒闭,NONE
4,在水一方《丰）,5.0,5.0,5.0,NONE,很满意，喜欢他家的菜品！一如即往的支持！,NONE
5,魔头螃蟹,5.0,5.0,5.0,120元,疫情期间真的使劲了浑身解数了会做的都做了一个遍啦！总是想吃烤串，外卖又不太放心！所以啊！碰运气西贝莜...,2020-03-0612:23
6,今天你吃了吗,5.0,5.0,5.0,120元,西北莜面村一直都是我比较喜欢的分管，但是现在是特殊时期，所以点了外卖，但是之前也是看了网上的报道说，...,2020-03-0308:00
7,JoannaW1214,5.0,5.0,5.0,NONE,送餐速度很快，疫情期间这个时速很不错啦。第一次点西贝的酸辣粉，味道真是没得说！点餐联上清楚标记好，包...,2020-02-2619:24
8,散人Li,4.5,4.5,4.5,40元,今天中午团购了你店的牛脖骨、牛胸骨和黄金豆。炖的味道不错，价格也实惠，疫情期间推出这些便民服务，十分感谢！,NONE
9,dpuser_3666781801,4.0,3.5,4.0,180元,西贝莜面村六里桥店：很红火的店，尤其是周五三层楼的房间都预定满了，交通方便有地铁，西北风味，牛脊骨，...,2020-02-2320:15
10,山药豆,4.5,4.0,4.0,NONE,开荤了开荤了，受食材和厨具的影响，自己在家做饭做不出这种感觉，一个月都没有痛快淋漓的啃牛大骨了。抵抗...,2020-02-2123:20
11,旺旺大礼包,5.0,5.0,5.0,NONE,西贝搭配浦发信用卡活动也太实惠了，满60元减28.08，同时外卖也减20元，买了一大堆才30多，很开心哦「...,2020-02-2113:30
12,060fchenchen,5.0,5.0,5.0,NONE,大西北的健康美味~永远都吃不腻的菜品，西贝全国直营连锁店，很多城市都有所以不管去到那吃着都非常方便...,NONE
13,西柚光年,5.0,5.0,5.0,NONE,春以第一次在外面吃饭。一个人在包间，安全安静安心。黄馍馍现蒸现卖，西红柿莜面也是一如既...,2020-02-1615:04
14,avy773,4.5,4.5,4.5,NONE,春节前朋友聚会选在这里，老店了平常也回来吃。蒙古牛大骨真的壮观，喝酒时时不时来一块真的很过瘾。喜欢黄米凉糕，春天的油泼香椿莜面也很棒，冬天没有。莜面，功夫鱼，烤羊肉串，酸奶都是必点。上菜快，服务很好。,NONE
