,昵称,口味,环境,服务,人均,评论,时间
0,食不念饱,4.5,4.0,4.5,NONE,西贝的大多数菜品都非常符合我的口味在我印象中第一次西贝都已经是10多年以前了从一家店到现在随处可见，...,2020-03-2922:46
1,胡椒粉1828,5.0,5.0,5.0,NONE,六里桥总店，第一次，受疫情影响，中午吃饭的人不是很多，大家都自觉的保持了距离，一个餐桌2-3人，三人...,2020-03-2817:46
2,MW,3.5,4.0,4.0,NONE,六里桥西贝，人还不少，超过2个人吃饭要分桌，对面远处有四位一起的，分桌吃，我看意义也不大,2020-03-2810:09
3,猫一只咪尝天下,5.0,5.0,5.0,90元,西贝莜面村，我的老家菜，也是我的最爱，每一样菜都喜欢，都是我从小吃到大的味道，这么多年西贝的品质一直...,2020-03-2921:20
4,变猪一般的小瘦子,5.0,5.0,5.0,NONE,以前都不知道西贝还可以订购蛋糕，朋友推荐才知道公众号可以订购哦~比较适合老人吃，蛋糕坯是枣糕，不是特...,2020-03-3014:54
5,Locoboy,4.5,5.0,5.0,100元,复工啦！终于要摒弃湛湛的黑暗料理了！一定帮我保密！要不然湛湛得揍我,2020-03-0418:52
6,凡,4.5,5.0,5.0,120元,[服务铃]服务：疫情期间不能堂食，外卖的菜品也有限，有当天的售卖菜品清单可以选择相应的菜品，点了几个菜...,2020-02-2812:18
7,老猪倌_20090802,4.0,3.0,4.0,NONE,禁足宅家，馋了，只能刷屏看美食图片解馋。翻看中，西贝莜面村的牛扇子骨格外馋人！西贝莜面村的牛扇子...,2020-03-0922:24
8,tracyshady,4.0,4.0,4.0,120元,年前和冰哥一起打卡的，期待满满，稍微有点儿小失望，记得以前蔡澜先生也过六里桥店。[薄荷]环境：...,2020-03-2419:11
9,豆豆爱吃吃吃,5.0,5.0,5.0,130元,永远都吃不腻的菜品，西贝全国直营连锁店，很多城市都有所以不管去到那吃着都非常方便，口味基本都是一致的...,2020-01-2812:25
10,Xiao濤,5.0,4.5,5.0,75元,好友一起驾车回京、赶上晚饭点/便搜了一下附近美食（火锅本是首选）可饭店基本没有开门营业堂食的、...,2020-03-1822:59
11,曼陀罗般妖娆,3.0,3.5,3.0,NONE,听过很多次但从没过的西贝总店，一直都去的各种商场店，总店果然更气派些～就是公共交通略有不便离地铁...,2020-02-2020:27
12,柠檬百香蜜,5.0,5.0,5.0,NONE,大众点评，点评有礼！这几天一直宅在家才想起来我的橙v身份，西贝莜面村一家连锁店，单位聚餐选择这家性价...,2020-02-1901:41
13,吃吃喝喝快快乐乐,3.5,4.5,3.5,NONE,[薄荷]环境：在三环边上的一栋四层小楼，店面很大，疫情期间人很少，只能在包间吃，挺好的。「烤羊肉串」...,2020-02-2519:35
14,采薇2046,5.0,5.0,5.0,NONE,疫情时期还在坚的西贝莜面村，支持！看了贾国龙董事长刷屏的那篇文章，心里真的很难受。力挺西贝，我爱...,2020-02-0521:36
