,昵称,口味,环境,服务,人均,评论,时间
0,曉芯宝,5.0,5.0,5.0,NONE,服务好，环境好，带孩子吃饭的首选，儿童餐最满意了,NONE
1,橘子片片,4.0,4.0,3.0,NONE,今天给孩子约了亲子活动，感觉活动组织的不太好，让孩子看视频却没有声音，形式大于内容，当然这也是商家的...,2019-07-2913:18
2,迷糊101,4.0,4.0,5.0,NONE,这几天看了长安十二时辰，就馋起了水盆羊肉，以前在西贝吃过，觉得味道不错，所以跑来找水盆羊肉的，结果这...,2019-07-2814:04
3,找小羊子,5.0,4.0,4.0,NONE,熟悉的口感，然而北京物价就是高！价格贵了好多的感觉……,NONE
4,wbrwl,5.0,5.0,5.0,NONE,西贝在北京的连锁店越来越多了。走到哪里看一下大众点评就能发现离你最近的一家店。回龙观店在华联三层，天...,2019-07-2617:55
5,可颂,5.0,5.0,5.0,100元,喜欢他家的酸湛，买了几个带走，有吃招牌西红柿莜面，味道比较好蔬菜水果沙拉，非常的给力，因为去的...,2019-07-2521:16
6,时间旅行者的猫,5.0,5.0,5.0,NONE,吃肉好去处。牛肉炖土豆那个菜，虽然我并不怎么喜欢吃土豆，也得承认炖得十分入味，给一个赞。,NONE
7,一个小女孩,5.0,5.0,5.0,NONE,昨天跟同事一起出去吃饭，在华联超市里面逛了好久，最后决定来这里，来的时候人不是特别多。可能已经过了中...,2019-07-2308:51
8,天才富翁,5.0,5.0,5.0,NONE,这家店的莜面非常的好吃，他家的特色就是主打主食，他家也有很多其他的菜感觉非常的棒，尤其是他家的菜骨肉...,NONE
9,北方佳人yy,5.0,5.0,5.0,NONE,和朋友一起聚餐，这次选了较近的西贝，这块大骨头广告宣传的不错，点了一份尝试一下，肉质鲜美，几乎没...,2019-07-2214:33
10,冰棍儿君,5.0,4.0,4.0,NONE,西贝一到吃饭点总是人很多，门口有等位座让顾客等待叫号，我们等待了40多分钟才被安排座位。装修虽然简易...,2019-07-2014:30
11,食草界的小仙子,5.0,4.0,5.0,NONE,孩子的最爱西贝一直深的娃,2019-07-2012:17
12,bgs666,4.0,4.0,4.0,100元,"总体满意，西北菜是喜欢的，不过味道改了很多...为了满足北京各地的需求也能理解,西贝服务也不错,就是菜太...",2019-07-1809:19
13,撒娇宝儿,5.0,5.0,5.0,NONE,宝宝过生日来吃个午饭，送了宝宝面，还走魔术师过来助兴，宝宝开心极了，西贝特别人性化，吃儿童餐都会给个...,2019-07-1717:10
14,抱拳了铁子,3.0,3.0,3.0,125元,讲真，如果不是为了吃这个莜面，我们会立刻走开的。西贝莜面村太贵了，一份蚝油生菜要40+，一份豆腐也要49...,2019-07-1515:12
