,昵称,口味,环境,服务,人均,评论,时间
0,蘇瑾年。,5.0,5.0,5.0,NONE,面食爱好者的天堂每次华联都要西贝闺女很喜欢吃这两款面「张爷爷酸汤手工空心挂面」「蘑菇汤莜面鱼鱼...,2020-01-3001:01
1,shevinya,4.5,4.0,4.5,150元,西贝，是一家我平时会拒绝的店。理由是1我不爱吃面，2太贵，可能第二个理由过份真实了。唯一的这张图，一道...,2020-02-2223:26
2,美好人生,5.0,5.0,5.0,NONE,这次逛街有点晚。这家店环境很美，厅内摆放比较整齐干净。西北莜面村是山西最牛的特色。莜面不仅好吃，...,2019-12-2313:54
3,采菊东篱下,5.0,5.0,5.0,NONE,西贝莜面村位于华联回龙观购物中心的三层，店面和厨房都是开放式的，装修明亮简洁，安装了很多镜子，增加了...,2020-01-1723:54
4,bunny秋,4.0,4.0,4.0,NONE,#静下来想你，觉得一切都美好的不可思议。[环境]华联三层，有服务员在门口热情的照顾客人。透明的厨房，...,2019-12-1621:04
5,紫霞,4.5,4.5,4.5,NONE,补卡吃完有几天了今天才有时间补卡经常和家人朋友吃他们家，有种吃不腻每次必点黄金面包，具体叫...,2019-12-1115:25
6,hutinger1230,5.0,5.0,5.0,NONE,用餐人数：2人菜品：黄馍馍，自制酸湛，大拌菜，椒麻鸡，蒙古牛肉（肋排？我忘了名字,2019-11-1208:58
7,qwert风云,5.0,5.0,5.0,NONE,对面上班，平时不及吃饭的时候，特别喜欢的就是番茄空心挂面，大拌菜，胡麻油炒鸡蛋，烤羊排，鲈鱼，今天...,2019-11-1614:31
8,Dear-SSS,4.0,4.0,5.0,NONE,「烤羊肉串」肉串比外面卖的大一点，价格贵，但是挺香的，服务员说是三瘦两肥，肥肉不腻，很香。「蒙古牛...,2019-11-2922:43
9,橘子大王呐,4.0,4.0,4.0,NONE,家附近的这家西贝不算大，但是墙面上加了镜子，看起很亮堂宽敞。蒙古牛大骨：我们选的是牛脖骨，牛肉很...,2020-01-0413:04
10,F.fei,4.0,4.0,4.0,NONE,[薄荷]环境：环境还是很不错的，侧面的墙是镜面的，让人感觉空间整体很大。餐厅布置挺朴素亲切的，吃饭还是...,2020-03-2611:24
11,九天,5.0,5.0,5.0,NONE,菜品口味还是很好不错的，服务也是一如既往的好，菜品很好吃，一直喜欢的餐厅很久没有了，这是疫情第一次...,NONE
12,匿名用户,4.5,4.5,4.5,NONE,好久没吃了～牛大骨煮火锅真香！,NONE
13,树上吃烧烤,3.5,5.0,3.5,NONE,因为疫情，只能点外卖，也就谈不上服务，但是外卖的半成品味道和堂食比起差距有点大，而且分量方面也很一...,NONE
14,xinl,4.5,3.5,3.5,NONE,多次光顾的一家店了，没得选择的时候就是这家，不过就是感觉有点小贵呢。2个人，人均差不多得100左右，而且...,NONE
