,昵称,口味,环境,服务,人均,评论,时间
0,兰牙_9601,3.5,3.5,3.5,NONE,做的菜真的很好吃但是定价有点高了特喜欢这的牛肉汤但是感觉太贵劳动阶级不敢想去就去,NONE
1,谷歌大中华区赵总,2.0,2.0,2.0,NONE,西贝价格越越贵，菜量越越少，没有所谓西北的淳朴感觉，还弄每天所谓的限量菜，充过一次卡只后，就不会...,2020-02-1510:17
2,eleven413,4.0,4.0,4.0,NONE,作为西北菜，我只能说你家的菜量是真少了，不知道为什么每天那么多人排队，酸奶尚可，其他一般,NONE
3,匿名用户,5.0,5.0,5.0,NONE,独特的口味，很正宗，湛茶也特别好，莜面好吃。,NONE
4,大西睿,5.0,5.0,5.0,150元,很棒，第一次吃西贝还是几年前，当时舌尖上的美食，张爷爷的空心面特别火，时至今日，打卡很多次了，现在还...,2020-01-2219:19
5,DHH_DHH_DHH,4.0,4.0,4.0,NONE,之前吃过一次西贝…印象不是很好，所以很久没吃了…朋友突然说吃，就一起过了…这次让我小小的惊艳了...,2020-01-2008:40
6,dpuser_16853803062,4.0,4.0,4.0,NONE,经常来这里吃饭，这次多点了一个湛酪饼，个头不大，味道还行吧，最后还是没吃完，打包可以当明天的早点了。价格真是越来越贵啊，一份凉皮都四十多了，随便点几个菜就二百多。环境还是那么好，干净放心，服务周到。,NONE
7,哈喽,5.0,5.0,5.0,90元,这个店铺在回龙观华联商厦，店铺很大，环境特别高档，服务人员也很多，它家主打牛大骨，牛的各种部位的肉，...,2020-01-1412:31
8,Ruby_4564,1.5,3.5,1.5,NONE,吃了这么多次西贝，这次简直体验太差，晚餐时段点了小锅牛肉，没有！换成大盘鸡，没有！我请问西贝现在主菜...,NONE
9,小薰ta爹,4.5,3.5,4.5,90元,首先，出的藤椒鸡肉串很好吃。其次，这家西贝有点奇怪大部分都是两人桌，家庭用餐特别尴尬，等大桌怕...,2020-01-1120:22
10,小胖爱吃串,4.5,5.0,5.0,NONE,很久不来西贝了，一是人多；二是大棒骨总是抢不到。今天媳妇过生日，早点过来，总算赶上了第一波大棒骨。...,2020-01-1112:19
11,xiaolvilan,5.0,5.0,2.5,NONE,本差评是给值班经理的，可是别的服务员态度都很好，所以没法给差评，又是帮拿东西又是倒水端粥，只有值班...,2020-01-0922:36
12,粪土当年万户侯,4.0,4.0,4.0,NONE,靠一碗面做大做强，不容易，做什么都得做自己熟悉的，面的味道的确不错，是那个熟悉的味道，好吃，很香。...,2020-01-0823:05
13,易望,5.0,5.0,5.0,NONE,环境不错，人也挺多的，那个大骨头挺好吃的,NONE
14,匿名用户,5.0,5.0,5.0,100元,味道非常好，确实闭着眼都可以点餐。服务还特别的好！赞,NONE
