,昵称,口味,环境,服务,人均,评论,时间
0,习惯被依赖的男人,4.0,4.0,4.0,NONE,回龙观西大街华联商厦3层西贝莜面村打卡！到饭点的时候人比较多，可能需要等位！门口有吹气球的免费给小...,2019-09-0510:11
1,August,4.0,4.0,4.0,NONE,每次去西贝都很期待去，那一句闭着眼睛点，道道都好吃真的记忆犹。食材及依旧鲜，菜品依旧可口。棒棒...,2019-09-05  更新于2019-09-0718:10
2,羊哥猪妹,5.0,5.0,5.0,NONE,今天抽了4管血果断决定来吃肉补补血,2019-09-0320:14
3,小s,5.0,5.0,5.0,NONE,华联三楼非常好找，晚上一般要排队。[环境]非常好[服务]非常好推荐菜「黄馍馍」「张爷爷酸汤手工空心挂...,NONE
4,仙女航007,4.0,4.0,4.0,NONE,拍完全家福本想去吃海底捞，结果人太多，直接放弃奔到这吃个午饭，还好不用等位，儿童座椅能达到沙发上还不...,2019-09-0310:06
5,dpuser_5570895219,5.0,5.0,5.0,NONE,周末的人很多，要等位呦，东西很好吃，空心挂面必点，还有拌莜面，真的超好吃，凉皮也是我没吃必点的，还有...,2019-09-0218:50
6,壮壮高,4.0,4.0,4.0,NONE,以前实习的时候，因为公司旁边有一家西北，所以以前就经常去吃，西北的菜和面食真的都很不错，而且环境一般...,2019-09-0120:35
7,霜寒雪,3.0,3.0,4.0,NONE,老公是内蒙人，西贝是他们家乡的，所以比较有感情。好久不去，突然来一回，发现菜单改了很多，好多菜都没有...,NONE
8,十月繁霜,5.0,5.0,5.0,100元,#点评有礼#逛街回来去吃点东西离家近就跑来这里了，虽然挺晚的了，但是服务仍然有保障，给我们点菜的小哥服...,2019-09-01  更新于2019-09-0622:33
9,hey越越,5.0,5.0,5.0,NONE,中午着急吃点东西，看到有西贝就过了。点了两份汤面和两个肉夹馍，上菜速度还可以，肉夹馍的汤汁也不少，不会很柴，羊肉汤面没有什么膻味，吃起还不错。,NONE
10,V草,5.0,5.0,5.0,85元,团建最后一站，那就是西贝莜面村,2019-08-3115:06
11,huadan68,4.0,5.0,5.0,120元,西北是老品牌，原来去过圆明园东门的店，不过很久没去吃了，这次发现餐馆定位还是中高端的样子。品味精致。...,2019-08-2723:34
12,秦秦80后,5.0,5.0,5.0,70元,特色菜之一的烤羊背，推荐这道菜。2、手把肉，羊肉，绝对的美味，原汁原味的小羊肉，很是香甜。3、烤羊腿...,2019-08-2718:07
13,五色鹿的妞爸,4.0,5.0,5.0,NONE,今天孩子上课前本打算带她吃西贝莜面,2019-08-2717:19
14,dpuser_83918676211,1.0,1.0,1.0,NONE,真的不想给差评。昨天晚上过去吃饭。由于人多所以直接拼了桌，这是可以忍的。不得不说，这家店的服务员...,2019-08-2617:15
