,昵称,口味,环境,服务,人均,评论,时间
0,起个名字好难,4.0,4.0,4.0,NONE,上次没吃到湛酪饼，老公不死心，我对它没啥兴趣，点了个酸汤面，酸汤面还可以吧，没啥也别感觉，湛酪饼比想...,2019-12-0120:07
1,hy*_1134,4.0,5.0,5.0,NONE,第一次听到西贝莜面的时候真的以为是面条，一直第一次踏进店里就深深的爱上了他，喜欢功夫鱼、西红柿浇汁...,NONE
2,安然,5.0,5.0,5.0,NONE,,2019-11-2912:31
3,我爱祥儿宝贝,5.0,5.0,5.0,140元,带我儿子去商场儿童乐园玩，午饭从西贝莜面村家吃的，两个人点了3个菜，还有一个炒蘑菇。孩子比较喜欢吃牛肉，牛肉很鲜很嫩。拍黄瓜也超好吃，会继续光临。,NONE
4,匿名用户,5.0,5.0,5.0,NONE,「风味凉皮」我是比较喜欢吃凉皮凉面这种凉拌的食物的，他家味道超好的，是我喜欢的，喜欢红油的，点赞「酥...,2019-11-2623:53
5,dpuser_3725303263,5.0,5.0,5.0,NONE,因为回龙观地区就这一个西贝莜面村，所以经常来吃西红柿浇汁莜面挺好吃的，每次必点，大人还都爱吃，大花卷...,NONE
6,子小梦禹,4.0,4.0,1.0,130元,路过n次了但还第一次吃西贝。各种牛大骨、面食这两个是标签，没想细细了解还有很多其他好吃的。「蒙古...,2019-11-2522:18
7,星星8050,5.0,5.0,5.0,70元,品：好像是叫芝士烤饼,2019-11-2415:29
8,清风惋心,5.0,5.0,5.0,50元,说好的海底捞，人太多了，最后选择了西贝,2019-11-2320:24
9,匿名用户,5.0,5.0,5.0,68元,环境好，服务热情。菜品可口。入的会员很合适。有三个菜品免费，还有一个生日券儿不错。,NONE
10,爱吃还爱胖的雪儿,4.0,5.0,5.0,90元,这个商场无数次，每次西贝家门前都是排号的，这次下午过，人不多不需要等位，就进尝了尝，总体说...,2019-11-1918:07
11,dpuser_28739429141,5.0,5.0,5.0,90元,是第一次去西贝，以前一直听说莜面窝窝好吃，上次去，感觉最好吃的是大骨啊，呜呜呜呜！超级香！而且那个湛...,2019-11-1907:45
12,vivian123w,4.0,4.0,4.0,NONE,带孩子出门，吃饭来是件头疼的事。然而附近有西贝莜面的话，这家一定是最优选择。口味清淡，粗粮健康，服...,2019-11-1817:01
13,小江,5.0,4.0,5.0,NONE,小老大最近迷上这里的肉，各种大棒骨换着吃，这次点的带牛筋的，有嚼头。肉串儿有鸡有羊，肉类全活儿。一点...,2019-11-1814:50
14,洒家去哪,4.0,4.0,4.0,NONE,不知道为啥西贝这么火，没觉得有多么好吃，价格也不实在，一个凉能卖到20左右，羊肉串不错。,NONE
