,昵称,口味,环境,服务,人均,评论,时间
0,恐龙飞_480,4.5,5.0,5.0,NONE,保持了西贝莜面村一贯的好品质，下午两点半了，人依旧不少。想起小时候在六里桥总店吃饭，就是感觉价格贵，...,2020-01-0414:38
1,我是梦想！,5.0,5.0,5.0,NONE,服务态度不错，黄米凉糕很好吃啊！,NONE
2,dpuser_6948229528,3.5,3.5,3.5,NONE,精品菜啊！人不是很多，快7点，都没什么人，进门没人引领，不够热情，我们自己找了个位置坐下，点菜时，是个新的服务员，不太熟悉，口味一般般吧，离厨房近，操作声音太大，比较杂乱，体验不好。,NONE
3,alisa_77,4.0,3.0,3.5,150元,首先说口味是非常不错，稳定，毕竟连锁店品控不错，但是这家环境真的有点太嘈杂了，可能人多，服务也没有跟上。以后估计不会再回龙观华联这家店。,NONE
4,--小亲,5.0,5.0,5.0,NONE,作为呼市的媳妇，第一次吃西贝，每次想吃的时候，总被别的店吸引，哈哈哈这次去朋友家玩狗，就选了她家门...,NONE
5,骑着蜗牛追大雁,5.0,5.0,5.0,NONE,西贝牛大骨，味道！非常鲜美！大口吃肉，大口喝酒？,NONE
6,皮方士,3.0,3.5,3.5,NONE,肉真的超多超满足，但是总觉得有点油腻。可能也是因为这次本来肠胃里有点油腻。风味凉，很解油腻，吃起...,2019-12-2512:57
7,丫头小乖1204,5.0,5.0,5.0,NONE,下班来吃个便餐，他家菜上的比较快，所以选择乐他家。就在回龙观华联楼上，就是停车位不好找，平时还可以。...,2019-12-2417:23
8,小飞快跑,4.5,3.5,4.5,80元,这个店离地铁不远，交通方便，周末人会很多，菜的种类很多，可以满足小宝宝到没牙老湛湛的需求。可清淡可辛...,2019-12-2316:46
9,一颗大西柚啊,3.5,5.0,5.0,100元,[环境]环境很好了不挤人坐的开[服务]有种海底捞的架势，而且保证25分钟上齐餐「烤羊肉串」特别小一...,2019-12-2119:53
10,匿名用户,0.5,0.5,0.5,70元,我是西贝的老会员了，并且办了每年299的VIP卡。下面来说一说我的真实感受。2019.12.16日下着雪，中午1点左...,NONE
11,丶雨后小情调,4.0,4.0,4.0,NONE,[环境]位置在华联商厦3楼，很好找～环境依然舒适优雅～「黄米凉糕」味道依然很棒，冰凉爽口，清甜不腻～...,2019-12-2016:51
12,奔跑的大饭盒子,4.5,4.5,4.5,NONE,带娃吃，服务员热情。主动提供小围兜。点了「西红柿浇汁莜面」「蒙古酸奶」「蒙古牛大骨(牛脊骨)」一大一小吃分量刚好，不会太多。酸奶最开始是杯装，现在是纸杯装。味道挺好的。,NONE
13,美国西没,1.5,3.5,1.5,160元,说真的，菜越越贵，新菜更新的速度也慢，牛大骨推出后肉越越少了，还死贵死贵的，坑消费者，一个青菜40...,2019-12-1921:05
14,吃喝玩乐,3.5,4.5,5.0,78元,今天来的这家西贝莜面村，位于回龙观华联商厦3层。华联3层主要以饮食餐厅还有电影院为主，这家西贝莜面...,2019-12-1814:58
