,昵称,口味,环境,服务,人均,评论,时间
0,FelixKim,4.0,4.0,4.0,NONE,西贝整体还是可以的，干净整洁。菜品其实也还不错，简单，食材新鲜算是，放心整体价格比以前上了很多，有...,NONE
1,不能说*,3.0,4.0,3.0,NONE,具体位置在昌平区回龙观西大街111号华联商厦3楼！[环境]很舒适！具有特色感！[服务]热情周到！招牌很明显...,2019-09-1822:14
2,vtt227,5.0,5.0,5.0,NONE,周末排队里三层外三层～今天中午稍晚人比较少，服务员非常体贴，周到，及时。凉是最爱！听说串串要微辣...,2019-09-1809:20
3,夏天家的郭发财,5.0,5.0,5.0,NONE,听朋友安利了出的奶酪饼，迫不及待的想拔草，中秋假期的第二天，人人人人人人，所以决定打包带走回家...,2019-09-1501:45
4,宝_553642,5.0,5.0,5.0,NONE,路过回龙观饥肠辘辘，实在不想停下，车去对面美食园去找吃的了就在购物中心里姐姐把最后选择了西北很久不吃...,2019-09-1418:47
5,小猪幽幽920,5.0,4.0,4.0,100元,西贝现在越越贵了，一份生菜要40多块。店里一如既往地人多，等了20分钟。今天点了份桂花山药，颜值和...,2019-09-1320:46
6,S.晴天,5.0,5.0,5.0,NONE,新疆阿克苏苹果烤鸡：鸡肉外酥，不是嫩的口感，不过很入味，好吃，阿克苏苹果，味道竟然也很特别。葱香烤...,2019-09-1221:31
7,土豆,4.0,5.0,5.0,NONE,嗯，味道不错，肉多，饭香，色先锋俱全，,NONE
8,我家小白2016,5.0,5.0,4.0,80元,西贝莜面村：西贝的味道一直都还比较稳定，但是这次来明显感觉服务差了，服务人员都很忙，忙着没工夫搭理顾...,2019-09-0914:50
9,dpuser_0307155436,1.0,3.0,1.0,NONE,西贝这样干离破产不远了，进店一直被推荐会员，问是不是储值卡会员，被推荐买了299的vip，还好结账前看了一...,NONE
10,Azure,4.0,4.0,5.0,75元,中午想简单吃一口碳水，就跑到了莜面村。[环境]真是饭店时候，屋里人挺多的，但是一点儿也不觉得乱，虽然...,2019-09-0809:38
11,哈哈,5.0,5.0,5.0,NONE,位于回龙观华联逛街吃饭看电影一条龙这家的环境很好每次都很明亮干净餐具桌布都让人看着暖暖...,2019-09-0717:21
12,匿名用户,5.0,5.0,5.0,80元,逛街累了就在附近找了一家店过来吃，经常过来吃。店里手机信号不太好。连接WiFi倒是方便，扫码点餐，很方...,2019-09-0717:02
13,腿长人帅嘴还馋,4.0,4.0,4.0,NONE,中午吃的，两个人吃的挺撑。总体味道还好，凉皮吃起有种大拌菜的感觉。牛骨头挺好吃的。总体满意。,NONE
14,ell212,5.0,5.0,5.0,NONE,出的藤椒鸡肉串试了一下，藤椒还挺辣的哈。酸汤鱼鱼不错，番茄汤底的，虽然碗挺小的，一人份的样子，但一...,2019-09-0610:36
