,昵称,口味,环境,服务,人均,评论,时间
0,MayaJuu,4.0,4.0,5.0,116元,已光盘，四人，服务很好，黄米糕最好吃,2019-10-3120:03
1,jing1267,3.0,4.0,3.0,NONE,环境还可以，比较干净。菜品味道太一般了。大盘鸡是我最难吃的大盘鸡。。。服务员推销的299会员卡让我一头雾水。搞了100个规则，累不累。,NONE
2,飘颻兮若流风之回雪,4.0,5.0,5.0,38元,看《罗小黑战记》之前来这里吃的，环境很不错，服务很好。主要吃的面条，汤很鲜美，面也特别劲道。推荐自制...,NONE
3,一颗番茄90,3.0,5.0,5.0,NONE,主要是心心念念那个蒙古奶酪饼很久了，端上真是袖珍啊，不过吃起奶香味还是很浓郁的。张爷爷空心挂面真的一般，牛肉土豆条还可以，软糯软糯的。肉夹馍还是建议去陕西的店里吃吧，太一般。。。,NONE
4,dpuser_1904478521,4.0,3.0,3.0,NONE,菜品选择少了很多，专注于剔骨牛肉了？不点称重牛肉的话，貌似只有凉菜和面食了，没几个炒菜可以选择，难怪...,NONE
5,Yolanda,5.0,5.0,5.0,NONE,西贝对于大家都不陌生了，过很多次了，这次尝试一下菜品。「桂花红豆山药糕」摆盘很精致，吃起软软...,2019-10-2713:55
6,幽默的大哲学家,4.0,4.0,4.0,NONE,西贝莜面村，吃过的人都知道，这家的菜比较贵，莜面也贵。不过西红柿鸡蛋莜面确实不错，因为没吃过其他的。...,2019-10-2711:28
7,winter__sweet,5.0,5.0,5.0,NONE,第一次吃回龙观的西贝。服务到位，点多了小哥还劝阻着,NONE
8,小盒,5.0,5.0,5.0,100元,有一次来到了西贝莜面村这次来的早可以任意的选择大骨头感觉很好羊肉串挺贵的但是味道很好服务员小哥态...,2019-10-2409:06
9,好吃的娃,5.0,5.0,5.0,NONE,闭着眼睛选每一道菜都好吃！真的是这样，汤鲜味美吃肉过瘾，还不用担心莜面会发，小米凉糕味甜不腻凉丝丝...,2019-10-2409:06
10,dpuser_9512614996,5.0,5.0,5.0,100元,西贝莜面村，专营西北菜的馆子，在《舌尖上的中国》爆红以后，西贝莜面村似乎在一夜之间红遍大江南北。直到...,2019-10-2122:00
11,布朗熊爱吃肉,5.0,5.0,5.0,NONE,位于回龙观华联楼上，怎么点都好吃,NONE
12,爱偷懒的猫,5.0,5.0,5.0,NONE,他家在一个大商场里面，位置挺好找的，那一层都是吃饭的地方，平时人都挺多的，特别是周末，吃饭都要排队，...,2019-10-2121:16
13,陈姗姗_1916,5.0,5.0,5.0,NONE,和妈妈孩子看电影过吃饭。价格不算便宜，但是店面干净，服务很周到。菜品干净卫生。适合带孩子吃。黄米...,2019-10-2007:45
14,daisyandtao,5.0,5.0,5.0,NONE,在别的店吃完饭，因为那家店没有合适宝宝吃的，西贝给宝宝买点。「黄馍馍」这个很经典，馅很细腻，好吃...,2019-10-1713:44
