,昵称,口味,环境,服务,人均,评论,时间
0,好好吃饭,3.0,2.0,3.0,NONE,太过分了，价格特别贵。分量特别少。再也不会吃了，坑人！,NONE
1,lyqingme163,5.0,5.0,5.0,80元,超爱他家的「风味凉皮」「西贝面筋」「油泼香椿莜面」，都是清爽可口，真的是闭着眼点都可以，美味可口，热...,2019-10-0211:39
2,HIYORI,5.0,5.0,5.0,120元,-[]每次都觉得西贝的桌布很有美式的风格，红白格子是我的爱了。端上的菜都是地地道道的西北风味，这家店...,2019-09-3015:54
3,Yan,4.0,4.0,4.0,100元,1.我浑浑噩噩走过二十年做过天上仙受过万人谴以为甘甜苦楚全都尝过一遍只有你回首一眼才知这是人间...,NONE
4,东茶西悦新中式茶饮教室,5.0,5.0,5.0,103元,本不是很饿，孩子这两天不舒服，今天带着娃在华联闲逛，结果看到门口的气球然后又想吃饭了，点了半天不知...,2019-09-2918:31
5,草莓wxl,5.0,5.0,5.0,60元,老公超爱的店平时懒得出门还点他家外卖解馋哈哈,NONE
6,淡忘蓝色。,5.0,5.0,5.0,NONE,昨天和朋友去吃的他家的芝士乳酪真的巨好吃芝士有奶油的香味吃起来也甜甜的酸辣汤很好喝但是加上燕麦有...,2019-09-2708:26
7,乱七八糟打了几个字凑合用,5.0,5.0,5.0,120元,中午来朋友一起吃饭，突然想到了西贝莜面，匆匆赶到回龙观老华联4层，其实这一层的美食比较多，韩餐烤肉，...,2019-09-2514:27
8,又迟迟,5.0,5.0,5.0,NONE,昨天去吃，店环境不错，水准和其他店也没什么差。「西红柿浇汁莜面」这个好吃，喜欢，面很OK「手撕椒麻...,2019-09-2415:51
9,Tiger,2.0,4.0,4.0,NONE,其实西贝莜面村的价位对于西北菜来讲还是有些高的。服务不错。口味只能说一般般，就那么回事儿吧。自制酸奶...,NONE
10,小小晶,5.0,5.0,5.0,NONE,第一次吃西贝就爱上了，吃了好多家的西贝，去朋友家在家里附近也吃了在华联商场里，都是明窗，很干净，大...,NONE
11,dpuser_0154886301,5.0,5.0,5.0,NONE,西北莜面西北菜馆，是一个以前非常要火得餐厅，他们家的服务真的很好，门口得领位人员很热情得招待了我们，...,2019-09-2216:34
12,小川川,4.0,3.0,3.0,100元,和弟弟去逛街，去吃了西贝，需要等一会儿，弟弟饿了，前吃了枣糕和串串，进去以后，空间不算太大，开放式...,2019-09-2122:34
13,hao4chi,4.0,4.0,4.0,NONE,西贝的菜品个人感觉一般都比较健康，当然价格也稍贵「黄米凉糕」一般必点的菜品，口感不错，感觉养人「自制...,NONE
14,匿名用户,5.0,4.0,1.0,NONE,今天看到店家，打一个外卖小哥了！！不知道小哥怎么样了？？都出来打工的！！为什么要打架呢？搞不懂了！,NONE
